Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
AVTR,AVANTOR INC COM,AVANTOR INC,"20,239 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
AVY,AVERY DENNISON CORP COM,AVERY DENNISON CORPORATION,"14,395 M",Materials,Containers & Packaging,Paper Packaging
AWI,ARMSTRONG WORLD INDUSTRIES INC COM,ARMSTRONG WORLD INDUSTRIES INC,"4,011 M",Industrials,Building Products,Building Products
AWK,AMER WATER WORKS CO INC COM,AMERICAN WATER WORKS CO INCORPORATED,"28,144 M",Utilities,Water Utilities,Water Utilities
AXP,AMERICAN EXPRESS CO COM,AMERICAN EXPRESS COMPANY,"125,701 M",Financials,Consumer Finance,Consumer Finance
AXS,AXIS CAPITAL HOLDINGS LTD COM,<empty>,"4,936 M",Financials,Insurance,Property & Casualty Insurance
AXTA,AXALTA COATING SYSTEMS LTD COM,AXALTA COATING SYSTEMS LTD,"6,077 M",Materials,Chemicals,Specialty Chemicals
AYI,ACUITY BRANDS INC COM,"ACUITY BRANDS, INC.","6,212 M",Industrials,Electrical Equipment,Electrical Components & Equipment
AYX,ALTERYX INC COM CL A,ALTERYX INC,"3,986 M",Information Technology,Software,Application Software
AZO,AUTOZONE INC COM,"AUTOZONE, INC.","40,281 M",Consumer Discretionary,Specialty Retail,Automotive Retail
AZPN,ASPEN TECHNOLOGY INC COM,ASPEN TECHNOLOGY INC,"12,436 M",Information Technology,Software,Application Software
BA,BOEING CO COM,BOEING CO,"82,436 M",Industrials,Aerospace & Defense,Aerospace & Defense
